Local time,Open,High,Low,Close,Volume
18.11.2019 14:30:50.600 GMT-0000,38.648,38.648,38.648,38.648,0.0008
18.11.2019 14:30:50.750 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:50.900 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:50.950 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:51.150 GMT-0000,38.667,38.667,38.667,38.667,0.0008
18.11.2019 14:30:51.250 GMT-0000,38.658,38.658,38.658,38.658,0.0008
18.11.2019 14:30:51.650 GMT-0000,38.657,38.657,38.657,38.657,0.002
18.11.2019 14:30:51.700 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:52.450 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:52.500 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:52.650 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:52.700 GMT-0000,38.688,38.688,38.688,38.688,0.002
18.11.2019 14:30:52.900 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:52.950 GMT-0000,38.678,38.678,38.678,38.678,0.0008
18.11.2019 14:30:53.150 GMT-0000,38.687,38.687,38.687,38.687,0.0008
18.11.2019 14:30:53.200 GMT-0000,38.688,38.688,38.688,38.688,0.0008
18.11.2019 14:30:53.250 GMT-0000,38.698,38.698,38.698,38.698,0.002
18.11.2019 14:30:54.750 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:54.800 GMT-0000,38.718,38.718,38.718,38.718,0.002
18.11.2019 14:30:54.900 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:55.050 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:30:55.150 GMT-0000,38.708,38.708,38.708,38.708,0.002
18.11.2019 14:30:55.200 GMT-0000,38.708,38.708,38.708,38.708,0.002
18.11.2019 14:30:55.550 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:30:55.700 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:56.850 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:30:57.050 GMT-0000,38.708,38.708,38.708,38.708,0.002
18.11.2019 14:30:57.350 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:30:57.550 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:58.850 GMT-0000,38.708,38.708,38.708,38.708,0.002
18.11.2019 14:30:58.950 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:30:59.100 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:59.150 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:59.250 GMT-0000,38.698,38.698,38.698,38.698,0.0008
18.11.2019 14:30:59.700 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:30:59.750 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:31:00.000 GMT-0000,38.717,38.717,38.717,38.717,0.0008
18.11.2019 14:31:00.050 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:00.650 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:00.800 GMT-0000,38.718,38.718,38.718,38.718,0.002
18.11.2019 14:31:00.950 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:01.500 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:02.350 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:02.500 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:04.100 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:04.200 GMT-0000,38.718,38.718,38.718,38.718,0.002
18.11.2019 14:31:05.000 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:05.150 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:05.600 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:05.750 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:06.000 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:06.300 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:06.400 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:06.600 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:06.700 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:06.850 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:07.200 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:07.750 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:07.800 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:31:07.950 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:31:08.200 GMT-0000,38.708,38.708,38.708,38.708,0.002
18.11.2019 14:31:09.600 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:09.950 GMT-0000,38.718,38.718,38.718,38.718,0.002
18.11.2019 14:31:10.050 GMT-0000,38.707,38.707,38.707,38.707,0.002
18.11.2019 14:31:10.200 GMT-0000,38.708,38.708,38.708,38.708,0.0008
18.11.2019 14:31:10.850 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:10.950 GMT-0000,38.728,38.728,38.728,38.728,0.0008
18.11.2019 14:31:11.050 GMT-0000,38.727,38.727,38.727,38.727,0.002
18.11.2019 14:31:11.100 GMT-0000,38.718,38.718,38.718,38.718,0.0008
18.11.2019 14:31:11.200 GMT-0000,38.717,38.717,38.717,38.717,0.002
18.11.2019 14:31:11.300 GMT-0000,38.718,38.718,38.718,38.718,0.002
18.11.2019 14:31:11.900 GMT-0000,38.727,38.727,38.727,38.727,0.002
18.11.2019 14:31:12.350 GMT-0000,38.737,38.737,38.737,38.737,0.0008
18.11.2019 14:31:12.400 GMT-0000,38.748,38.748,38.748,38.748,0.002
18.11.2019 14:31:12.950 GMT-0000,38.757,38.757,38.757,38.757,0.001
18.11.2019 14:31:13.000 GMT-0000,38.788,38.788,38.788,38.788,0.002
18.11.2019 14:31:13.600 GMT-0000,38.808,38.808,38.808,38.808,0.002
18.11.2019 14:31:13.700 GMT-0000,38.828,38.828,38.828,38.828,0.002
18.11.2019 14:31:13.750 GMT-0000,38.817,38.817,38.817,38.817,0.002
18.11.2019 14:31:13.850 GMT-0000,38.818,38.818,38.818,38.818,0.0008
18.11.2019 14:31:13.900 GMT-0000,38.828,38.828,38.828,38.828,0.0008
18.11.2019 14:31:14.000 GMT-0000,38.828,38.828,38.828,38.828,0.0008
18.11.2019 14:31:14.100 GMT-0000,38.827,38.827,38.827,38.827,0.002
18.11.2019 14:31:14.550 GMT-0000,38.838,38.838,38.838,38.838,0.0008
18.11.2019 14:31:15.000 GMT-0000,38.828,38.828,38.828,38.828,0.0008
18.11.2019 14:31:15.050 GMT-0000,38.838,38.838,38.838,38.838,0.0008
18.11.2019 14:31:16.050 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:16.100 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:16.150 GMT-0000,38.858,38.858,38.858,38.858,0.0008
18.11.2019 14:31:16.300 GMT-0000,38.847,38.847,38.847,38.847,0.002
18.11.2019 14:31:16.350 GMT-0000,38.838,38.838,38.838,38.838,0.002
18.11.2019 14:31:16.450 GMT-0000,38.847,38.847,38.847,38.847,0.0008
18.11.2019 14:31:16.650 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:16.750 GMT-0000,38.858,38.858,38.858,38.858,0.0008
18.11.2019 14:31:17.150 GMT-0000,38.857,38.857,38.857,38.857,0.002
18.11.2019 14:31:17.800 GMT-0000,38.847,38.847,38.847,38.847,0.002
18.11.2019 14:31:18.950 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:19.150 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:19.450 GMT-0000,38.847,38.847,38.847,38.847,0.002
18.11.2019 14:31:19.500 GMT-0000,38.847,38.847,38.847,38.847,0.002
18.11.2019 14:31:19.650 GMT-0000,38.848,38.848,38.848,38.848,0.0008
18.11.2019 14:31:19.850 GMT-0000,38.858,38.858,38.858,38.858,0.0008
18.11.2019 14:31:19.900 GMT-0000,38.827,38.827,38.827,38.827,0.002
18.11.2019 14:31:20.200 GMT-0000,38.828,38.828,38.828,38.828,0.0008
18.11.2019 14:31:20.300 GMT-0000,38.808,38.808,38.808,38.808,0.0008
18.11.2019 14:31:20.400 GMT-0000,38.808,38.808,38.808,38.808,0.002
18.11.2019 14:31:20.500 GMT-0000,38.808,38.808,38.808,38.808,0.002
18.11.2019 14:31:20.550 GMT-0000,38.808,38.808,38.808,38.808,0.002
18.11.2019 14:31:21.100 GMT-0000,38.798,38.798,38.798,38.798,0.002
