Local time,Ask,Bid,AskVolume,BidVolume
18.11.2019 14:30:51.153 GMT-0000,38.682,38.667,0,0.0008
18.11.2019 14:30:51.254 GMT-0000,38.682,38.658,0,0.0008
18.11.2019 14:30:51.678 GMT-0000,38.683,38.657,0.002,0.002
18.11.2019 14:30:51.729 GMT-0000,38.702,38.688,0,0.0008
18.11.2019 14:30:52.450 GMT-0000,38.703,38.687,0.002,0.0008
18.11.2019 14:30:52.500 GMT-0000,38.702,38.678000000000004,0,0.0008
18.11.2019 14:30:52.669 GMT-0000,38.702,38.688,0,0.0008
18.11.2019 14:30:52.720 GMT-0000,38.711999999999996,38.688,0.002,0.002
18.11.2019 14:30:52.923 GMT-0000,38.702,38.688,0,0.0008
18.11.2019 14:30:52.975 GMT-0000,38.702,38.678000000000004,0,0.0008
18.11.2019 14:30:53.175 GMT-0000,38.702,38.687,0,0.0008
18.11.2019 14:30:53.225 GMT-0000,38.711999999999996,38.688,0,0.0008
18.11.2019 14:30:53.275 GMT-0000,38.722,38.698,0.002,0.002
18.11.2019 14:30:54.778 GMT-0000,38.722,38.708000000000006,0,0.0008
18.11.2019 14:30:54.828 GMT-0000,38.742,38.718,0.002,0.002
18.11.2019 14:30:54.928 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:30:55.085 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:30:55.190 GMT-0000,38.722,38.708000000000006,0,0.002
18.11.2019 14:30:55.241 GMT-0000,38.732,38.708000000000006,0.002,0.002
18.11.2019 14:30:55.598 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:30:55.713 GMT-0000,38.722,38.698,0,0.0008
18.11.2019 14:30:56.866 GMT-0000,38.723000000000006,38.707,0.002,0.002
18.11.2019 14:30:57.053 GMT-0000,38.732,38.708000000000006,0.002,0.002
18.11.2019 14:30:57.386 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:30:57.575 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:30:58.862 GMT-0000,38.722,38.708000000000006,0,0.002
18.11.2019 14:30:58.963 GMT-0000,38.733000000000004,38.707,0.002,0.002
18.11.2019 14:30:59.124 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:30:59.174 GMT-0000,38.722,38.708000000000006,0,0.0008
18.11.2019 14:30:59.286 GMT-0000,38.722,38.698,0,0.0008
18.11.2019 14:30:59.740 GMT-0000,38.723000000000006,38.708000000000006,0,0.0008
18.11.2019 14:30:59.791 GMT-0000,38.732,38.708000000000006,0,0.0008
18.11.2019 14:31:00.048 GMT-0000,38.732,38.717,0,0.0008
18.11.2019 14:31:00.098 GMT-0000,38.742,38.718,0,0.0008
18.11.2019 14:31:00.697 GMT-0000,38.743,38.717,0.002,0.002
18.11.2019 14:31:00.805 GMT-0000,38.742,38.718,0.002,0.002
