Local time,Open,High,Low,Close,Volume
03.01.2018 14:32:09.000 GMT-0000,11.722,11.722,11.722,11.722,0.0075
03.01.2018 14:32:10.000 GMT-0000,11.718,11.718,11.718,11.718,0.0005
03.01.2018 14:32:11.000 GMT-0000,11.717,11.718,11.717,11.718,0.011300000000000001
03.01.2018 14:32:12.000 GMT-0000,11.717,11.717,11.717,11.717,0.0214
03.01.2018 14:32:13.000 GMT-0000,11.718,11.718,11.718,11.718,0.0007
03.01.2018 14:32:14.000 GMT-0000,11.717,11.727,11.717,11.727,0.0373
03.01.2018 14:32:15.000 GMT-0000,11.722,11.722,11.722,11.722,0.0075
03.01.2018 14:32:16.000 GMT-0000,11.717,11.718,11.701,11.718,0.023199999999999995
03.01.2018 14:32:18.000 GMT-0000,11.718,11.718,11.718,11.718,0.0019
03.01.2018 14:32:19.000 GMT-0000,11.717,11.717,11.717,11.717,0.0115
03.01.2018 14:32:20.000 GMT-0000,11.718,11.718,11.717,11.718,0.0195
03.01.2018 14:32:21.000 GMT-0000,11.711,11.718,11.711,11.717,0.015299999999999998
03.01.2018 14:32:22.000 GMT-0000,11.718,11.718,11.717,11.717,0.011200000000000002
03.01.2018 14:32:23.000 GMT-0000,11.718,11.718,11.718,11.718,0.001
03.01.2018 14:32:24.000 GMT-0000,11.733,11.733,11.728,11.728,0.0192
03.01.2018 14:32:25.000 GMT-0000,11.728,11.728,11.728,11.728,0.0014
03.01.2018 14:32:26.000 GMT-0000,11.727,11.727,11.718,11.718,0.0192
03.01.2018 14:32:27.000 GMT-0000,11.717,11.717,11.717,11.717,0.0111
03.01.2018 14:32:28.000 GMT-0000,11.718,11.718,11.718,11.718,0.0004
03.01.2018 14:32:29.000 GMT-0000,11.717,11.718,11.717,11.718,0.0185
03.01.2018 14:32:32.000 GMT-0000,11.700,11.708,11.700,11.708,0.0083
03.01.2018 14:32:33.000 GMT-0000,11.707,11.707,11.707,11.707,0.0075
03.01.2018 14:32:34.000 GMT-0000,11.702,11.708,11.701,11.701,0.0339
03.01.2018 14:32:35.000 GMT-0000,11.701,11.701,11.698,11.698,0.015
03.01.2018 14:32:36.000 GMT-0000,11.691,11.691,11.691,11.691,0.015
03.01.2018 14:32:38.000 GMT-0000,11.681,11.681,11.681,11.681,0.015
03.01.2018 14:32:39.000 GMT-0000,11.671,11.671,11.657,11.668,0.0419
03.01.2018 14:32:40.000 GMT-0000,11.668,11.677,11.668,11.677,0.029200000000000004
03.01.2018 14:32:41.000 GMT-0000,11.678,11.678,11.678,11.678,0.0075
03.01.2018 14:32:42.000 GMT-0000,11.670,11.678,11.658,11.678,0.0304
03.01.2018 14:32:43.000 GMT-0000,11.688,11.688,11.677,11.678,0.03
03.01.2018 14:32:44.000 GMT-0000,11.680,11.680,11.680,11.680,0.0075
03.01.2018 14:32:45.000 GMT-0000,11.688,11.698,11.688,11.698,0.0083
03.01.2018 14:32:46.000 GMT-0000,11.703,11.703,11.682,11.682,0.022499999999999996
03.01.2018 14:32:47.000 GMT-0000,11.678,11.697,11.678,11.688,0.057199999999999994
03.01.2018 14:32:48.000 GMT-0000,11.682,11.697,11.682,11.697,0.029
03.01.2018 14:32:49.000 GMT-0000,11.708,11.708,11.708,11.708,0.0075
03.01.2018 14:32:51.000 GMT-0000,11.707,11.708,11.707,11.708,0.0004
03.01.2018 14:32:52.000 GMT-0000,11.707,11.707,11.698,11.698,0.0116
03.01.2018 14:32:53.000 GMT-0000,11.692,11.692,11.692,11.692,0.0075
03.01.2018 14:32:54.000 GMT-0000,11.687,11.687,11.687,11.687,0.0137
03.01.2018 14:32:55.000 GMT-0000,11.687,11.687,11.687,11.687,0.0105
03.01.2018 14:32:56.000 GMT-0000,11.688,11.698,11.688,11.698,0.0107
03.01.2018 14:32:57.000 GMT-0000,11.698,11.698,11.698,11.698,0.0075
03.01.2018 14:32:58.000 GMT-0000,11.681,11.681,11.681,11.681,0.015
03.01.2018 14:32:59.000 GMT-0000,11.677,11.677,11.677,11.677,0.0123
03.01.2018 14:33:00.000 GMT-0000,11.678,11.678,11.678,11.678,0.0075
03.01.2018 14:33:01.000 GMT-0000,11.681,11.681,11.681,11.681,0.0075
03.01.2018 14:33:02.000 GMT-0000,11.681,11.681,11.681,11.681,0.015
03.01.2018 14:33:03.000 GMT-0000,11.687,11.688,11.687,11.688,0.0085
03.01.2018 14:33:06.000 GMT-0000,11.687,11.687,11.678,11.678,0.019799999999999998
03.01.2018 14:33:07.000 GMT-0000,11.677,11.677,11.677,11.677,0.0137
03.01.2018 14:33:08.000 GMT-0000,11.680,11.688,11.680,11.688,0.0196
03.01.2018 14:33:09.000 GMT-0000,11.687,11.688,11.687,11.688,0.011600000000000001
03.01.2018 14:33:10.000 GMT-0000,11.687,11.687,11.687,11.687,0.0137
03.01.2018 14:33:11.000 GMT-0000,11.687,11.687,11.677,11.677,0.027699999999999995
03.01.2018 14:33:12.000 GMT-0000,11.688,11.688,11.688,11.688,0.015
03.01.2018 14:33:14.000 GMT-0000,11.698,11.698,11.698,11.698,0.0103
03.01.2018 14:33:15.000 GMT-0000,11.708,11.708,11.702,11.708,0.0272
03.01.2018 14:33:16.000 GMT-0000,11.707,11.707,11.707,11.707,0.013000000000000001
03.01.2018 14:33:17.000 GMT-0000,11.698,11.698,11.698,11.698,0.030599999999999995
03.01.2018 14:33:18.000 GMT-0000,11.708,11.708,11.698,11.698,0.0174
03.01.2018 14:33:19.000 GMT-0000,11.707,11.707,11.707,11.707,0.0123
03.01.2018 14:33:20.000 GMT-0000,11.708,11.708,11.707,11.707,0.0112
03.01.2018 14:33:21.000 GMT-0000,11.708,11.708,11.698,11.698,0.008899999999999998
03.01.2018 14:33:22.000 GMT-0000,11.707,11.708,11.703,11.703,0.0155
03.01.2018 14:33:23.000 GMT-0000,11.697,11.698,11.697,11.698,0.0103
03.01.2018 14:33:24.000 GMT-0000,11.697,11.697,11.688,11.688,0.0113
03.01.2018 14:33:25.000 GMT-0000,11.681,11.681,11.681,11.681,0.015
03.01.2018 14:33:26.000 GMT-0000,11.672,11.672,11.661,11.661,0.015
03.01.2018 14:33:27.000 GMT-0000,11.661,11.661,11.657,11.657,0.018000000000000002
03.01.2018 14:33:28.000 GMT-0000,11.658,11.658,11.658,11.658,0.0007000000000000001
03.01.2018 14:33:29.000 GMT-0000,11.657,11.657,11.657,11.657,0.0005
03.01.2018 14:33:30.000 GMT-0000,11.657,11.658,11.657,11.658,0.0104
03.01.2018 14:33:31.000 GMT-0000,11.657,11.657,11.652,11.652,0.015
03.01.2018 14:33:32.000 GMT-0000,11.650,11.650,11.650,11.650,0.0075
03.01.2018 14:33:33.000 GMT-0000,11.639,11.639,11.627,11.628,0.0209
03.01.2018 14:33:34.000 GMT-0000,11.618,11.622,11.601,11.601,0.022499999999999996
03.01.2018 14:33:35.000 GMT-0000,11.608,11.618,11.608,11.618,0.0472
03.01.2018 14:33:37.000 GMT-0000,11.617,11.638,11.617,11.638,0.031
03.01.2018 14:33:38.000 GMT-0000,11.638,11.638,11.638,11.638,0.0075
03.01.2018 14:33:39.000 GMT-0000,11.637,11.638,11.631,11.638,0.015999999999999997
03.01.2018 14:33:40.000 GMT-0000,11.636,11.636,11.628,11.628,0.008199999999999999
03.01.2018 14:33:41.000 GMT-0000,11.627,11.627,11.627,11.627,0.018699999999999998
03.01.2018 14:33:42.000 GMT-0000,11.627,11.627,11.622,11.622,0.0178
03.01.2018 14:33:43.000 GMT-0000,11.618,11.618,11.618,11.618,0.0075
03.01.2018 14:33:44.000 GMT-0000,11.617,11.617,11.617,11.617,0.0008
03.01.2018 14:33:45.000 GMT-0000,11.612,11.618,11.611,11.617,0.045
03.01.2018 14:33:46.000 GMT-0000,11.611,11.611,11.608,11.608,0.0081
03.01.2018 14:33:47.000 GMT-0000,11.608,11.608,11.608,11.608,0.0006
03.01.2018 14:33:48.000 GMT-0000,11.607,11.607,11.602,11.602,0.0188
03.01.2018 14:33:49.000 GMT-0000,11.592,11.592,11.588,11.588,0.007899999999999999
03.01.2018 14:33:50.000 GMT-0000,11.587,11.588,11.587,11.588,0.0118
03.01.2018 14:33:51.000 GMT-0000,11.587,11.588,11.587,11.588,0.0179
03.01.2018 14:33:52.000 GMT-0000,11.588,11.588,11.588,11.588,0.0075
03.01.2018 14:33:53.000 GMT-0000,11.587,11.587,11.581,11.581,0.018000000000000002
03.01.2018 14:33:54.000 GMT-0000,11.588,11.588,11.587,11.587,0.007999999999999998
03.01.2018 14:33:55.000 GMT-0000,11.588,11.598,11.588,11.598,0.0185
03.01.2018 14:33:56.000 GMT-0000,11.598,11.598,11.598,11.598,0.011
03.01.2018 14:33:57.000 GMT-0000,11.597,11.598,11.587,11.598,0.026000000000000002
03.01.2018 14:34:00.000 GMT-0000,11.591,11.591,11.591,11.591,0.0075
03.01.2018 14:34:02.000 GMT-0000,11.588,11.588,11.572,11.572,0.0085
03.01.2018 14:34:03.000 GMT-0000,11.568,11.568,11.568,11.568,0.0008
03.01.2018 14:34:04.000 GMT-0000,11.568,11.568,11.568,11.568,0.0008
03.01.2018 14:34:05.000 GMT-0000,11.568,11.568,11.567,11.567,0.007699999999999999
03.01.2018 14:34:06.000 GMT-0000,11.563,11.563,11.563,11.563,0.0075
03.01.2018 14:34:07.000 GMT-0000,11.557,11.557,11.557,11.557,0.023399999999999997
03.01.2018 14:34:08.000 GMT-0000,11.548,11.548,11.548,11.548,0.0209
03.01.2018 14:34:09.000 GMT-0000,11.548,11.548,11.538,11.538,0.0191
03.01.2018 14:34:10.000 GMT-0000,11.548,11.548,11.547,11.547,0.0101
03.01.2018 14:34:11.000 GMT-0000,11.547,11.558,11.547,11.558,0.0086
03.01.2018 14:34:12.000 GMT-0000,11.551,11.561,11.551,11.561,0.0161
03.01.2018 14:34:13.000 GMT-0000,11.561,11.561,11.558,11.558,0.007899999999999999
03.01.2018 14:34:14.000 GMT-0000,11.557,11.557,11.557,11.557,0.0185
03.01.2018 14:34:15.000 GMT-0000,11.558,11.558,11.551,11.551,0.0089
03.01.2018 14:34:17.000 GMT-0000,11.557,11.558,11.557,11.558,0.0196
03.01.2018 14:34:18.000 GMT-0000,11.558,11.558,11.558,11.558,0.0015
03.01.2018 14:34:21.000 GMT-0000,11.558,11.558,11.558,11.558,0.0075
03.01.2018 14:34:24.000 GMT-0000,11.558,11.558,11.552,11.558,0.016199999999999996
03.01.2018 14:34:25.000 GMT-0000,11.557,11.557,11.557,11.557,0.0104
03.01.2018 14:34:26.000 GMT-0000,11.558,11.558,11.553,11.558,0.015799999999999998
03.01.2018 14:34:27.000 GMT-0000,11.552,11.552,11.552,11.552,0.0075
03.01.2018 14:34:28.000 GMT-0000,11.557,11.558,11.557,11.558,0.0092
03.01.2018 14:34:31.000 GMT-0000,11.558,11.558,11.558,11.558,0.0075
03.01.2018 14:34:32.000 GMT-0000,11.568,11.577,11.568,11.577,0.019
03.01.2018 14:34:33.000 GMT-0000,11.578,11.578,11.578,11.578,0.0004
03.01.2018 14:34:34.000 GMT-0000,11.578,11.588,11.578,11.588,0.0259
03.01.2018 14:34:35.000 GMT-0000,11.582,11.588,11.582,11.588,0.0179
03.01.2018 14:34:37.000 GMT-0000,11.588,11.588,11.577,11.587,0.030000000000000002
03.01.2018 14:34:38.000 GMT-0000,11.584,11.584,11.572,11.572,0.015399999999999999
03.01.2018 14:34:39.000 GMT-0000,11.562,11.568,11.562,11.568,0.015
03.01.2018 14:34:40.000 GMT-0000,11.562,11.562,11.562,11.562,0.0075
